,subdir,config,start date,start time,end date,end time,dataset,user_num,item_num,inter_num,user_filter,item_filter,threshold,model_type,train_split,eval_split,eval_valid_mode,eval_test_mode,eval_valid_metric,dist_loss_w,train_0:loss_name,train_0:users_emb,train_0:items_emb,train_0:particular,train_0:set_outputs,train_0:set_trainable,train_0:train_ds_ind,train_0:config,train_0:best_val_score,train_0:best_val_res,train_0:best_test_res,train_1:loss_name,train_1:users_emb,train_1:items_emb,train_1:particular,train_1:set_outputs,train_1:set_trainable,train_1:train_ds_ind,train_1:config,train_1:best_val_score,train_1:best_val_res,train_1:best_test_res
0,neumf/baseline_bandle_2,exp_0_NeuMF_ml1m_00r.yaml,2024-05-05,12:48:13,,,ml-1m,3945,3456,256137,"[20,150)","[0,inf)",{'rating': 3},InputType.POINTWISE,,"{'RS': [0.7, 0.15, 0.15]}",uni100,uni100,MRR@10,0.1,,,,,,[],,[],,,,,,,,,[],,[],,,
1,neumf/baseline_bandle_2,exp_0_NeuMF_ml1m_00r.yaml,2024-05-05,12:48:13,2024-05-05,13:51:42,ml-1m,3945,3456,256137,"[20,150)","[0,inf)",{'rating': 3},InputType.POINTWISE,,"{'RS': [0.7, 0.15, 0.15]}",uni100,uni100,MRR@10,0.1,NeumfUserRMSE,user64.pt,,1.0,,[],0.0,[{'epochs': 20}],0.5098,"OrderedDict([('recall@10', 0.3057), ('recall@6', 0.2199), ('recall@3', 0.1297), ('mrr@10', 0.5098), ('mrr@6', 0.4976), ('mrr@3', 0.4584), ('map@10', 0.1773), ('map@6', 0.1813), ('map@3', 0.2156), ('ndcg@10', 0.3121), ('ndcg@6', 0.2951), ('ndcg@3', 0.2945), ('hit@10', 0.9151), ('hit@6', 0.8164), ('hit@3', 0.6339), ('precision@10', 0.2187), ('precision@6', 0.2519), ('precision@3', 0.2863)])","OrderedDict([('recall@10', 0.3075), ('recall@6', 0.2225), ('recall@3', 0.1332), ('mrr@10', 0.5274), ('mrr@6', 0.5173), ('mrr@3', 0.481), ('map@10', 0.1829), ('map@6', 0.1898), ('map@3', 0.2308), ('ndcg@10', 0.3204), ('ndcg@6', 0.3073), ('ndcg@3', 0.313), ('hit@10', 0.9163), ('hit@6', 0.8352), ('hit@3', 0.6656), ('precision@10', 0.2256), ('precision@6', 0.2636), ('precision@3', 0.3051)])",,,,,,[],,[],,,
2,neumf/baseline_bandle_2,exp_0_NeuMF_ml1m_00v.yaml,2024-05-05,13:51:46,2024-05-05,14:56:23,ml-1m,3945,3456,256137,"[20,150)","[0,inf)",{'rating': 3},InputType.POINTWISE,,"{'RS': [0.7, 0.15, 0.15]}",uni100,uni100,AUC,0.1,NeumfUserRMSE,user64.pt,,1.0,,[],0.0,[{'epochs': 20}],0.9045,"OrderedDict([('auc', 0.9045), ('mae', 0.1041), ('rmse', 0.2717), ('logloss', 0.2901)])","OrderedDict([('auc', 0.9068), ('mae', 0.1019), ('rmse', 0.2678), ('logloss', 0.2796)])",,,,,,[],,[],,,
3,neumf/baseline_bandle_2,exp_0_NeuMF_ml1m_01ra.yaml,2024-05-05,14:56:26,2024-05-05,16:51:12,ml-1m,3945,3456,256137,"[20,150)","[0,inf)",{'rating': 3},InputType.POINTWISE,,"{'RS': [0.7, 0.15, 0.15]}",uni100,uni100,MRR@10,0.1,NeumfUserRMSE,user64.pt,,1.0,[15],[],0.0,[{'epochs': 30}],0.5295,"OrderedDict([('recall@10', 0.3158), ('recall@6', 0.2277), ('recall@3', 0.1343), ('mrr@10', 0.5295), ('mrr@6', 0.5193), ('mrr@3', 0.4807), ('map@10', 0.1862), ('map@6', 0.1912), ('map@3', 0.2294), ('ndcg@10', 0.3253), ('ndcg@6', 0.3095), ('ndcg@3', 0.3115), ('hit@10', 0.9242), ('hit@6', 0.8425), ('hit@3', 0.6615), ('precision@10', 0.2283), ('precision@6', 0.2647), ('precision@3', 0.303)])","OrderedDict([('recall@10', 0.3238), ('recall@6', 0.2347), ('recall@3', 0.1406), ('mrr@10', 0.5467), ('mrr@6', 0.537), ('mrr@3', 0.5008), ('map@10', 0.1983), ('map@6', 0.2063), ('map@3', 0.2494), ('ndcg@10', 0.3389), ('ndcg@6', 0.3258), ('ndcg@3', 0.3324), ('hit@10', 0.9219), ('hit@6', 0.8438), ('hit@3', 0.6767), ('precision@10', 0.2384), ('precision@6', 0.2787), ('precision@3', 0.3231)])",,,,,,[],,[],,,
4,neumf/baseline_bandle_2,exp_0_NeuMF_ml1m_01rb.yaml,2024-05-05,20:59:58,2024-05-05,22:56:44,ml-1m,3945,3456,256137,"[20,150)","[0,inf)",{'rating': 3},InputType.POINTWISE,,"{'RS': [0.7, 0.15, 0.15]}",uni100,uni100,MRR@10,0.3,NeumfUserRMSE,user64.pt,,1.0,[15],[],0.0,[{'epochs': 30}],0.5193,"OrderedDict([('recall@10', 0.3099), ('recall@6', 0.2224), ('recall@3', 0.1322), ('mrr@10', 0.5193), ('mrr@6', 0.5086), ('mrr@3', 0.4689), ('map@10', 0.1824), ('map@6', 0.1858), ('map@3', 0.2235), ('ndcg@10', 0.3181), ('ndcg@6', 0.3008), ('ndcg@3', 0.303), ('hit@10', 0.9128), ('hit@6', 0.8253), ('hit@3', 0.641), ('precision@10', 0.2221), ('precision@6', 0.2551), ('precision@3', 0.2933)])","OrderedDict([('recall@10', 0.3173), ('recall@6', 0.2306), ('recall@3', 0.1335), ('mrr@10', 0.5264), ('mrr@6', 0.5158), ('mrr@3', 0.4757), ('map@10', 0.1905), ('map@6', 0.1967), ('map@3', 0.2351), ('ndcg@10', 0.3289), ('ndcg@6', 0.3143), ('ndcg@3', 0.315), ('hit@10', 0.9247), ('hit@6', 0.8395), ('hit@3', 0.6529), ('precision@10', 0.2341), ('precision@6', 0.2716), ('precision@3', 0.3078)])",,,,,,[],,[],,,
5,neumf/baseline_bandle_2,exp_0_NeuMF_ml1m_01va.yaml,2024-05-05,22:56:47,2024-05-06,00:55:37,ml-1m,3945,3456,256137,"[20,150)","[0,inf)",{'rating': 3},InputType.POINTWISE,,"{'RS': [0.7, 0.15, 0.15]}",uni100,uni100,AUC,0.1,NeumfUserRMSE,user64.pt,,1.0,[15],[],0.0,[{'epochs': 30}],0.9049,"OrderedDict([('auc', 0.9049), ('mae', 0.2052), ('rmse', 0.3379), ('logloss', 0.3645)])","OrderedDict([('auc', 0.9055), ('mae', 0.2033), ('rmse', 0.3351), ('logloss', 0.3579)])",,,,,,[],,[],,,
6,neumf/baseline_bandle_2,exp_0_NeuMF_ml1m_01vb.yaml,2024-05-06,00:55:53,2024-05-06,03:09:35,ml-1m,3945,3456,256137,"[20,150)","[0,inf)",{'rating': 3},InputType.POINTWISE,,"{'RS': [0.7, 0.15, 0.15]}",uni100,uni100,AUC,0.3,NeumfUserRMSE,user64.pt,,1.0,[15],[],0.0,[{'epochs': 30}],0.9076,"OrderedDict([('auc', 0.9076), ('mae', 0.0618), ('rmse', 0.2197), ('logloss', 0.2345)])","OrderedDict([('auc', 0.9075), ('mae', 0.0597), ('rmse', 0.2152), ('logloss', 0.2232)])",,,,,,[],,[],,,
7,neumf/baseline_bandle_2,exp_0_NeuMF_ml1m_02ra.yaml,2024-05-06,08:35:10,2024-05-06,10:23:08,ml-1m,3945,3456,256137,"[20,150)","[0,inf)",{'rating': 3},InputType.POINTWISE,,"{'RS': [0.7, 0.15, 0.15]}",uni100,uni100,MRR@10,0.1,NeumfUserRMSE,user64.pt,,1.0,[15],[],0.0,[{'epochs': 20}],0.5174,"OrderedDict([('recall@10', 0.3015), ('recall@6', 0.218), ('recall@3', 0.1303), ('mrr@10', 0.5174), ('mrr@6', 0.5065), ('mrr@3', 0.4676), ('map@10', 0.1789), ('map@6', 0.1848), ('map@3', 0.2233), ('ndcg@10', 0.3131), ('ndcg@6', 0.2986), ('ndcg@3', 0.3019), ('hit@10', 0.9049), ('hit@6', 0.8167), ('hit@3', 0.6351), ('precision@10', 0.218), ('precision@6', 0.2535), ('precision@3', 0.2915)])","OrderedDict([('recall@10', 0.3154), ('recall@6', 0.2273), ('recall@3', 0.1357), ('mrr@10', 0.5387), ('mrr@6', 0.5288), ('mrr@3', 0.4899), ('map@10', 0.191), ('map@6', 0.1969), ('map@3', 0.24), ('ndcg@10', 0.3296), ('ndcg@6', 0.3148), ('ndcg@3', 0.321), ('hit@10', 0.9214), ('hit@6', 0.8413), ('hit@3', 0.6613), ('precision@10', 0.2312), ('precision@6', 0.2677), ('precision@3', 0.3103)])",,,,,,"[['*'], False, [2, 3, 4, 5, 16, 17, 18, 19], True]",0.0,[{'epochs': 20}],0.4968,"OrderedDict([('recall@10', 0.2928), ('recall@6', 0.2101), ('recall@3', 0.127), ('mrr@10', 0.4968), ('mrr@6', 0.4846), ('mrr@3', 0.4449), ('map@10', 0.1695), ('map@6', 0.174), ('map@3', 0.211), ('ndcg@10', 0.3011), ('ndcg@6', 0.2849), ('ndcg@3', 0.2885), ('hit@10', 0.9049), ('hit@6', 0.8055), ('hit@3', 0.622), ('precision@10', 0.2118), ('precision@6', 0.2431), ('precision@3', 0.2824)])","OrderedDict([('recall@10', 0.3044), ('recall@6', 0.2178), ('recall@3', 0.1295), ('mrr@10', 0.5047), ('mrr@6', 0.4932), ('mrr@3', 0.4538), ('map@10', 0.1778), ('map@6', 0.1821), ('map@3', 0.22), ('ndcg@10', 0.312), ('ndcg@6', 0.2953), ('ndcg@3', 0.2981), ('hit@10', 0.9105), ('hit@6', 0.8177), ('hit@3', 0.6344), ('precision@10', 0.2213), ('precision@6', 0.2544), ('precision@3', 0.2928)])"
8,neumf/baseline_bandle_2,exp_0_NeuMF_ml1m_02rb.yaml,2024-05-06,10:23:12,2024-05-06,11:31:53,ml-1m,3945,3456,256137,"[20,150)","[0,inf)",{'rating': 3},InputType.POINTWISE,"[0.5, 0.5]","{'RS': [0.7, 0.15, 0.15]}",uni100,uni100,MRR@10,0.1,NeumfUserRMSE,user64.pt,,1.0,[15],[],0.0,[{'epochs': 20}],0.1915,"OrderedDict([('recall@10', 0.0923), ('recall@6', 0.0612), ('recall@3', 0.0345), ('mrr@10', 0.1915), ('mrr@6', 0.1802), ('mrr@3', 0.1575), ('map@10', 0.0463), ('map@6', 0.0495), ('map@3', 0.0638), ('ndcg@10', 0.0983), ('ndcg@6', 0.0922), ('ndcg@3', 0.0932), ('hit@10', 0.43), ('hit@6', 0.3375), ('hit@3', 0.229), ('precision@10', 0.0757), ('precision@6', 0.0819), ('precision@3', 0.09)])","OrderedDict([('recall@10', 0.0927), ('recall@6', 0.0619), ('recall@3', 0.0331), ('mrr@10', 0.1863), ('mrr@6', 0.1756), ('mrr@3', 0.1509), ('map@10', 0.0456), ('map@6', 0.0495), ('map@3', 0.0636), ('ndcg@10', 0.098), ('ndcg@6', 0.0929), ('ndcg@3', 0.0925), ('hit@10', 0.4313), ('hit@6', 0.3441), ('hit@3', 0.2267), ('precision@10', 0.0774), ('precision@6', 0.0853), ('precision@3', 0.0917)])",,,,,,"[['*'], False, [2, 3, 4, 5, 16, 17, 18, 19], True]",2.0,[{'epochs': 20}],0.4731,"OrderedDict([('recall@10', 0.2747), ('recall@6', 0.1976), ('recall@3', 0.1185), ('mrr@10', 0.4731), ('mrr@6', 0.4594), ('mrr@3', 0.4176), ('map@10', 0.1553), ('map@6', 0.1589), ('map@3', 0.1918), ('ndcg@10', 0.2789), ('ndcg@6', 0.2631), ('ndcg@3', 0.2638), ('hit@10', 0.8813), ('hit@6', 0.7705), ('hit@3', 0.5753), ('precision@10', 0.1917), ('precision@6', 0.2215), ('precision@3', 0.2544)])","OrderedDict([('recall@10', 0.2829), ('recall@6', 0.2013), ('recall@3', 0.1224), ('mrr@10', 0.4873), ('mrr@6', 0.4741), ('mrr@3', 0.4365), ('map@10', 0.1628), ('map@6', 0.1666), ('map@3', 0.2037), ('ndcg@10', 0.2895), ('ndcg@6', 0.2731), ('ndcg@3', 0.2789), ('hit@10', 0.8844), ('hit@6', 0.7787), ('hit@3', 0.6017), ('precision@10', 0.1998), ('precision@6', 0.2298), ('precision@3', 0.2698)])"
9,neumf/baseline_bandle_2,exp_0_NeuMF_ml1m_02rc.yaml,2024-05-06,11:32:10,2024-05-06,12:47:02,ml-1m,3945,3456,256137,"[20,150)","[0,inf)",{'rating': 3},InputType.POINTWISE,"[0.5, 0.5]","{'RS': [0.7, 0.15, 0.15]}",uni100,uni100,MRR@10,0.3,NeumfUserRMSE,user64.pt,,1.0,[15],[],0.0,[{'epochs': 20}],0.2107,"OrderedDict([('recall@10', 0.1005), ('recall@6', 0.0667), ('recall@3', 0.0393), ('mrr@10', 0.2107), ('mrr@6', 0.1986), ('mrr@3', 0.1731), ('map@10', 0.0503), ('map@6', 0.0536), ('map@3', 0.0689), ('ndcg@10', 0.1069), ('ndcg@6', 0.1001), ('ndcg@3', 0.1014), ('hit@10', 0.4693), ('hit@6', 0.3707), ('hit@3', 0.2505), ('precision@10', 0.0802), ('precision@6', 0.0875), ('precision@3', 0.0977)])","OrderedDict([('recall@10', 0.0987), ('recall@6', 0.0656), ('recall@3', 0.0371), ('mrr@10', 0.1982), ('mrr@6', 0.1865), ('mrr@3', 0.1609), ('map@10', 0.0482), ('map@6', 0.0515), ('map@3', 0.0657), ('ndcg@10', 0.1035), ('ndcg@6', 0.0967), ('ndcg@3', 0.0969), ('hit@10', 0.461), ('hit@6', 0.3649), ('hit@3', 0.2437), ('precision@10', 0.0801), ('precision@6', 0.0868), ('precision@3', 0.096)])",,,,,,"[['*'], False, [2, 3, 4, 5, 16, 17, 18, 19], True]",2.0,[{'epochs': 20}],0.4753,"OrderedDict([('recall@10', 0.2775), ('recall@6', 0.1976), ('recall@3', 0.1174), ('mrr@10', 0.4753), ('mrr@6', 0.463), ('mrr@3', 0.4205), ('map@10', 0.1561), ('map@6', 0.1584), ('map@3', 0.1912), ('ndcg@10', 0.2805), ('ndcg@6', 0.2636), ('ndcg@3', 0.2637), ('hit@10', 0.8755), ('hit@6', 0.7759), ('hit@3', 0.5766), ('precision@10', 0.1927), ('precision@6', 0.2221), ('precision@3', 0.253)])","OrderedDict([('recall@10', 0.2817), ('recall@6', 0.2036), ('recall@3', 0.1206), ('mrr@10', 0.4961), ('mrr@6', 0.4835), ('mrr@3', 0.4411), ('map@10', 0.1638), ('map@6', 0.169), ('map@3', 0.2069), ('ndcg@10', 0.2905), ('ndcg@6', 0.2762), ('ndcg@3', 0.2797), ('hit@10', 0.892), ('hit@6', 0.7893), ('hit@3', 0.5913), ('precision@10', 0.1988), ('precision@6', 0.2313), ('precision@3', 0.2661)])"
10,neumf/baseline_bandle_2,exp_0_NeuMF_ml1m_02va.yaml,2024-05-06,12:47:15,2024-05-06,14:50:50,ml-1m,3945,3456,256137,"[20,150)","[0,inf)",{'rating': 3},InputType.POINTWISE,,"{'RS': [0.7, 0.15, 0.15]}",uni100,uni100,AUC,0.1,NeumfUserRMSE,user64.pt,,1.0,[15],[],0.0,[{'epochs': 20}],0.9048,"OrderedDict([('auc', 0.9048), ('mae', 0.1827), ('rmse', 0.3298), ('logloss', 0.3583)])","OrderedDict([('auc', 0.9058), ('mae', 0.1807), ('rmse', 0.3268), ('logloss', 0.3507)])",,,,,,"[['*'], False, [2, 3, 4, 5, 16, 17, 18, 19], True]",0.0,[{'epochs': 20}],0.905,"OrderedDict([('auc', 0.905), ('mae', 0.0879), ('rmse', 0.2628), ('logloss', 0.3316)])","OrderedDict([('auc', 0.9058), ('mae', 0.0857), ('rmse', 0.259), ('logloss', 0.318)])"
11,neumf/baseline_bandle_2,exp_0_NeuMF_ml1m_02vb.yaml,2024-05-06,15:59:17,2024-05-06,17:11:56,ml-1m,3945,3456,256137,"[20,150)","[0,inf)",{'rating': 3},InputType.POINTWISE,"[0.5, 0.5]","{'RS': [0.7, 0.15, 0.15]}",uni100,uni100,AUC,0.1,NeumfUserRMSE,user64.pt,,1.0,[15],[],0.0,[{'epochs': 20}],0.7478,"OrderedDict([('auc', 0.7478), ('mae', 0.2849), ('rmse', 0.35), ('logloss', 0.4181)])","OrderedDict([('auc', 0.7486), ('mae', 0.2841), ('rmse', 0.3487), ('logloss', 0.4149)])",,,,,,"[['*'], False, [2, 3, 4, 5, 16, 17, 18, 19], True]",2.0,[{'epochs': 20}],0.9024,"OrderedDict([('auc', 0.9024), ('mae', 0.0749), ('rmse', 0.2475), ('logloss', 0.3307)])","OrderedDict([('auc', 0.9034), ('mae', 0.073), ('rmse', 0.2438), ('logloss', 0.318)])"
12,neumf/baseline_bandle_2,exp_0_NeuMF_ml1m_02vc.yaml,2024-05-06,17:12:00,2024-05-06,18:25:40,ml-1m,3945,3456,256137,"[20,150)","[0,inf)",{'rating': 3},InputType.POINTWISE,"[0.5, 0.5]","{'RS': [0.7, 0.15, 0.15]}",uni100,uni100,AUC,0.3,NeumfUserRMSE,user64.pt,,1.0,[15],[],0.0,[{'epochs': 20}],0.7457,"OrderedDict([('auc', 0.7457), ('mae', 0.2922), ('rmse', 0.3539), ('logloss', 0.4201)])","OrderedDict([('auc', 0.7477), ('mae', 0.2914), ('rmse', 0.3526), ('logloss', 0.4173)])",,,,,,"[['*'], False, [2, 3, 4, 5, 16, 17, 18, 19], True]",2.0,[{'epochs': 20}],0.8993,"OrderedDict([('auc', 0.8993), ('mae', 0.0961), ('rmse', 0.2694), ('logloss', 0.3174)])","OrderedDict([('auc', 0.9004), ('mae', 0.0939), ('rmse', 0.2657), ('logloss', 0.3065)])"
